req_id,module,requirement_name,priority,type,release
REQ-001,Patient Registration,Patient Registration - Requirement 1,High,Compliance,R4
REQ-002,Patient Registration,Patient Registration - Requirement 2,Critical,Compliance,R3
REQ-003,Patient Registration,Patient Registration - Requirement 3,Medium,Functional,R4
REQ-004,Patient Registration,Patient Registration - Requirement 4,High,Compliance,R2
REQ-005,Patient Registration,Patient Registration - Requirement 5,Medium,Non-Functional,R3
REQ-006,Patient Registration,Patient Registration - Requirement 6,High,Functional,R1
REQ-007,Patient Registration,Patient Registration - Requirement 7,High,Performance,R4
REQ-008,Patient Registration,Patient Registration - Requirement 8,Low,Compliance,R2
REQ-009,Patient Registration,Patient Registration - Requirement 9,Critical,Non-Functional,R4
REQ-010,Patient Registration,Patient Registration - Requirement 10,Critical,Security,R1
REQ-011,Appointment Management,Appointment Management - Requirement 11,Low,Functional,R4
REQ-012,Appointment Management,Appointment Management - Requirement 12,Medium,Functional,R2
REQ-013,Appointment Management,Appointment Management - Requirement 13,Medium,Functional,R1
REQ-014,Appointment Management,Appointment Management - Requirement 14,Medium,Performance,R3
REQ-015,Appointment Management,Appointment Management - Requirement 15,Medium,Performance,R4
REQ-016,Appointment Management,Appointment Management - Requirement 16,Medium,Functional,R4
REQ-017,Appointment Management,Appointment Management - Requirement 17,High,Functional,R3
REQ-018,Appointment Management,Appointment Management - Requirement 18,Low,Security,R1
REQ-019,Appointment Management,Appointment Management - Requirement 19,Low,Non-Functional,R4
REQ-020,Appointment Management,Appointment Management - Requirement 20,High,Functional,R3
REQ-021,Doctor Management,Doctor Management - Requirement 21,Medium,Security,R3
REQ-022,Doctor Management,Doctor Management - Requirement 22,Medium,Security,R4
REQ-023,Doctor Management,Doctor Management - Requirement 23,Medium,Functional,R3
REQ-024,Doctor Management,Doctor Management - Requirement 24,High,Non-Functional,R2
REQ-025,Doctor Management,Doctor Management - Requirement 25,High,Functional,R5
REQ-026,Doctor Management,Doctor Management - Requirement 26,High,Security,R2
REQ-027,Doctor Management,Doctor Management - Requirement 27,Low,Security,R3
REQ-028,Doctor Management,Doctor Management - Requirement 28,Low,Functional,R2
REQ-029,Doctor Management,Doctor Management - Requirement 29,Critical,Performance,R1
REQ-030,Doctor Management,Doctor Management - Requirement 30,High,Non-Functional,R2
REQ-031,Emergency Department,Emergency Department - Requirement 31,Medium,Non-Functional,R1
REQ-032,Emergency Department,Emergency Department - Requirement 32,High,Security,R2
