defect_id,test_id,req_id,module,severity,release,description,status
DEF-001,TC-066,REQ-033,Emergency Department,High,R3,Defect in Emergency Department during R3 testing,Closed
DEF-002,TC-082,REQ-041,Inpatient Management,Low,R4,Defect in Inpatient Management during R4 testing,Resolved
DEF-003,TC-100,REQ-050,Inpatient Management,Critical,R2,Defect in Inpatient Management during R2 testing,Open
DEF-004,TC-075,REQ-038,Emergency Department,Medium,R1,Defect in Emergency Department during R1 testing,Closed
DEF-005,TC-049,REQ-025,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Closed
DEF-006,TC-167,REQ-084,Billing,High,R3,Defect in Billing during R3 testing,Closed
DEF-007,TC-017,REQ-009,Patient Registration,Critical,R3,Defect in Patient Registration during R3 testing,Resolved
DEF-008,TC-090,REQ-045,Inpatient Management,High,R1,Defect in Inpatient Management during R1 testing,Closed
DEF-009,TC-085,REQ-043,Inpatient Management,Medium,R1,Defect in Inpatient Management during R1 testing,Closed
DEF-010,TC-072,REQ-036,Emergency Department,Medium,R3,Defect in Emergency Department during R3 testing,Closed
DEF-011,TC-149,REQ-075,Radiology,Low,R3,Defect in Radiology during R3 testing,Closed
DEF-012,TC-059,REQ-030,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Closed
DEF-013,TC-095,REQ-048,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Closed
DEF-014,TC-190,REQ-095,Insurance,Medium,R3,Defect in Insurance during R3 testing,Open
DEF-015,TC-196,REQ-098,Insurance,Medium,R2,Defect in Insurance during R2 testing,Open
DEF-016,TC-101,REQ-051,Pharmacy,High,R1,Defect in Pharmacy during R1 testing,Closed
DEF-017,TC-167,REQ-084,Billing,Low,R2,Defect in Billing during R2 testing,Closed
DEF-018,TC-172,REQ-086,Billing,Critical,R3,Defect in Billing during R3 testing,Closed
DEF-019,TC-011,REQ-006,Patient Registration,Critical,R4,Defect in Patient Registration during R4 testing,Closed
DEF-020,TC-077,REQ-039,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Resolved
DEF-021,TC-171,REQ-086,Billing,Low,R3,Defect in Billing during R3 testing,Closed
DEF-022,TC-222,REQ-111,User Access Management,Low,R1,Defect in User Access Management during R1 testing,Closed
DEF-023,TC-041,REQ-021,Doctor Management,Low,R3,Defect in Doctor Management during R3 testing,Closed
DEF-024,TC-192,REQ-096,Insurance,Low,R4,Defect in Insurance during R4 testing,Closed
DEF-025,TC-031,REQ-016,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Resolved
DEF-026,TC-013,REQ-007,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-027,TC-068,REQ-034,Emergency Department,Critical,R3,Defect in Emergency Department during R3 testing,Open
DEF-028,TC-225,REQ-113,User Access Management,Medium,R2,Defect in User Access Management during R2 testing,Closed
DEF-029,TC-237,REQ-119,User Access Management,Medium,R3,Defect in User Access Management during R3 testing,Resolved
DEF-030,TC-119,REQ-060,Pharmacy,Critical,R4,Defect in Pharmacy during R4 testing,Resolved
DEF-031,TC-165,REQ-083,Billing,Medium,R1,Defect in Billing during R1 testing,Resolved
DEF-032,TC-011,REQ-006,Patient Registration,Medium,R1,Defect in Patient Registration during R1 testing,Resolved
DEF-033,TC-090,REQ-045,Inpatient Management,Critical,R2,Defect in Inpatient Management during R2 testing,Closed
DEF-034,TC-090,REQ-045,Inpatient Management,Low,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-035,TC-069,REQ-035,Emergency Department,Critical,R2,Defect in Emergency Department during R2 testing,Closed
DEF-036,TC-209,REQ-105,Medical Records,Low,R4,Defect in Medical Records during R4 testing,Closed
DEF-037,TC-028,REQ-014,Appointment Management,Low,R1,Defect in Appointment Management during R1 testing,Resolved
DEF-038,TC-054,REQ-027,Doctor Management,Medium,R1,Defect in Doctor Management during R1 testing,Closed
DEF-039,TC-065,REQ-033,Emergency Department,High,R1,Defect in Emergency Department during R1 testing,Closed
DEF-040,TC-015,REQ-008,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-041,TC-042,REQ-021,Doctor Management,Medium,R4,Defect in Doctor Management during R4 testing,Resolved
DEF-042,TC-140,REQ-070,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Resolved
DEF-043,TC-151,REQ-076,Radiology,Medium,R2,Defect in Radiology during R2 testing,Closed
DEF-044,TC-008,REQ-004,Patient Registration,Medium,R1,Defect in Patient Registration during R1 testing,Open
DEF-045,TC-094,REQ-047,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Open
DEF-046,TC-181,REQ-091,Insurance,Medium,R2,Defect in Insurance during R2 testing,Closed
DEF-047,TC-107,REQ-054,Pharmacy,High,R1,Defect in Pharmacy during R1 testing,Closed
DEF-048,TC-183,REQ-092,Insurance,High,R4,Defect in Insurance during R4 testing,Closed
DEF-049,TC-201,REQ-101,Medical Records,Medium,R2,Defect in Medical Records during R2 testing,Resolved
DEF-050,TC-201,REQ-101,Medical Records,Low,R3,Defect in Medical Records during R3 testing,Resolved
DEF-051,TC-137,REQ-069,Laboratory,High,R1,Defect in Laboratory during R1 testing,Closed
DEF-052,TC-005,REQ-003,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Closed
DEF-053,TC-067,REQ-034,Emergency Department,Medium,R3,Defect in Emergency Department during R3 testing,Resolved
DEF-054,TC-232,REQ-116,User Access Management,Medium,R4,Defect in User Access Management during R4 testing,Closed
DEF-055,TC-009,REQ-005,Patient Registration,Low,R3,Defect in Patient Registration during R3 testing,Closed
DEF-056,TC-233,REQ-117,User Access Management,Low,R1,Defect in User Access Management during R1 testing,Resolved
DEF-057,TC-008,REQ-004,Patient Registration,Critical,R1,Defect in Patient Registration during R1 testing,Resolved
DEF-058,TC-089,REQ-045,Inpatient Management,Low,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-059,TC-157,REQ-079,Radiology,High,R1,Defect in Radiology during R1 testing,Open
DEF-060,TC-117,REQ-059,Pharmacy,Medium,R1,Defect in Pharmacy during R1 testing,Open
DEF-061,TC-135,REQ-068,Laboratory,High,R1,Defect in Laboratory during R1 testing,Closed
DEF-062,TC-090,REQ-045,Inpatient Management,Critical,R1,Defect in Inpatient Management during R1 testing,Resolved
DEF-063,TC-141,REQ-071,Radiology,Medium,R3,Defect in Radiology during R3 testing,Open
DEF-064,TC-051,REQ-026,Doctor Management,Medium,R4,Defect in Doctor Management during R4 testing,Open
DEF-065,TC-114,REQ-057,Pharmacy,Critical,R2,Defect in Pharmacy during R2 testing,Closed
DEF-066,TC-238,REQ-119,User Access Management,Medium,R1,Defect in User Access Management during R1 testing,Closed
DEF-067,TC-165,REQ-083,Billing,Medium,R1,Defect in Billing during R1 testing,Closed
DEF-068,TC-212,REQ-106,Medical Records,Medium,R2,Defect in Medical Records during R2 testing,Closed
DEF-069,TC-135,REQ-068,Laboratory,Medium,R4,Defect in Laboratory during R4 testing,Closed
DEF-070,TC-068,REQ-034,Emergency Department,Critical,R3,Defect in Emergency Department during R3 testing,Closed
DEF-071,TC-046,REQ-023,Doctor Management,Low,R1,Defect in Doctor Management during R1 testing,Open
DEF-072,TC-097,REQ-049,Inpatient Management,Medium,R3,Defect in Inpatient Management during R3 testing,Resolved
DEF-073,TC-068,REQ-034,Emergency Department,Critical,R1,Defect in Emergency Department during R1 testing,Resolved
DEF-074,TC-180,REQ-090,Billing,Medium,R1,Defect in Billing during R1 testing,Resolved
DEF-075,TC-134,REQ-067,Laboratory,Low,R1,Defect in Laboratory during R1 testing,Resolved
DEF-076,TC-133,REQ-067,Laboratory,Medium,R1,Defect in Laboratory during R1 testing,Resolved
DEF-077,TC-137,REQ-069,Laboratory,High,R1,Defect in Laboratory during R1 testing,Closed
DEF-078,TC-013,REQ-007,Patient Registration,Medium,R1,Defect in Patient Registration during R1 testing,Closed
DEF-079,TC-056,REQ-028,Doctor Management,Low,R2,Defect in Doctor Management during R2 testing,Open
DEF-080,TC-101,REQ-051,Pharmacy,Critical,R3,Defect in Pharmacy during R3 testing,Closed
DEF-081,TC-006,REQ-003,Patient Registration,High,R1,Defect in Patient Registration during R1 testing,Open
DEF-082,TC-029,REQ-015,Appointment Management,Medium,R1,Defect in Appointment Management during R1 testing,Resolved
DEF-083,TC-135,REQ-068,Laboratory,Medium,R2,Defect in Laboratory during R2 testing,Resolved
DEF-084,TC-108,REQ-054,Pharmacy,Critical,R2,Defect in Pharmacy during R2 testing,Closed
DEF-085,TC-013,REQ-007,Patient Registration,Medium,R2,Defect in Patient Registration during R2 testing,Open
DEF-086,TC-084,REQ-042,Inpatient Management,Medium,R2,Defect in Inpatient Management during R2 testing,Resolved
DEF-087,TC-141,REQ-071,Radiology,High,R1,Defect in Radiology during R1 testing,Resolved
DEF-088,TC-059,REQ-030,Doctor Management,High,R3,Defect in Doctor Management during R3 testing,Closed
DEF-089,TC-099,REQ-050,Inpatient Management,High,R1,Defect in Inpatient Management during R1 testing,Resolved
DEF-090,TC-179,REQ-090,Billing,Medium,R4,Defect in Billing during R4 testing,Resolved
DEF-091,TC-135,REQ-068,Laboratory,High,R4,Defect in Laboratory during R4 testing,Resolved
DEF-092,TC-039,REQ-020,Appointment Management,Medium,R2,Defect in Appointment Management during R2 testing,Closed
DEF-093,TC-225,REQ-113,User Access Management,Low,R1,Defect in User Access Management during R1 testing,Resolved
DEF-094,TC-172,REQ-086,Billing,Medium,R3,Defect in Billing during R3 testing,Open
DEF-095,TC-078,REQ-039,Emergency Department,Medium,R4,Defect in Emergency Department during R4 testing,Closed
DEF-096,TC-115,REQ-058,Pharmacy,Low,R1,Defect in Pharmacy during R1 testing,Closed
DEF-097,TC-210,REQ-105,Medical Records,High,R2,Defect in Medical Records during R2 testing,Closed
DEF-098,TC-168,REQ-084,Billing,Medium,R2,Defect in Billing during R2 testing,Closed
DEF-099,TC-213,REQ-107,Medical Records,Low,R3,Defect in Medical Records during R3 testing,Closed
DEF-100,TC-059,REQ-030,Doctor Management,Medium,R2,Defect in Doctor Management during R2 testing,Closed
DEF-101,TC-166,REQ-083,Billing,Medium,R4,Defect in Billing during R4 testing,Resolved
